date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:33:02	4464/4464	---M--	200	added ('OK')	application/octet-stream	date:Sun,%2026%20Feb%202023%2017:18:01%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-vietnamese.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-vietnamese.woff2	(from https://www.classcentral.com/)
11:33:03	10164/10164	---M--	200	added ('OK')	application/octet-stream	date:Sun,%2026%20Feb%202023%2017:18:01%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-latin-ext.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-latin-ext.woff2	(from https://www.classcentral.com/)
11:33:03	12656/12656	---M--	200	added ('OK')	application/octet-stream	date:Sun,%2026%20Feb%202023%2017:18:01%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-latin.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-latin.woff2	(from https://www.classcentral.com/)
11:33:04	5360/5360	---M--	200	added ('OK')	application/octet-stream	date:Sun,%2026%20Feb%202023%2017:25:06%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-cyrillic-ext.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-cyrillic-ext.woff2	(from https://www.classcentral.com/)
11:33:04	7748/7748	---M--	200	added ('OK')	application/octet-stream	date:Sun,%2026%20Feb%202023%2017:25:06%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-cyrillic.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-cyrillic.woff2	(from https://www.classcentral.com/)
11:33:04	6348/6348	---M--	200	added ('OK')	application/octet-stream	date:Sun,%2026%20Feb%202023%2017:18:01%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-greek-ext.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-greek-ext.woff2	(from https://www.classcentral.com/)
11:33:05	6840/6840	---M--	200	added ('OK')	application/octet-stream	date:Sun,%2026%20Feb%202023%2017:25:06%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-greek.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-greek.woff2	(from https://www.classcentral.com/)
11:33:05	4672/4672	---M--	200	added ('OK')	application/octet-stream	date:Sun,%2026%20Feb%202023%2017:18:01%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-vietnamese.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-vietnamese.woff2	(from https://www.classcentral.com/)
11:33:06	12352/12352	---M--	200	added ('OK')	application/octet-stream	date:Sun,%2026%20Feb%202023%2017:25:06%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-latin-ext.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-latin-ext.woff2	(from https://www.classcentral.com/)
11:33:06	13324/13324	---M--	200	added ('OK')	application/octet-stream	date:Sun,%2026%20Feb%202023%2017:25:06%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-latin.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-latin.woff2	(from https://www.classcentral.com/)
11:33:06	5268/5268	---M--	200	added ('OK')	application/octet-stream	date:Sun,%2026%20Feb%202023%2017:25:06%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-cyrillic-ext.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-cyrillic-ext.woff2	(from https://www.classcentral.com/)
11:33:07	7584/7584	---M--	200	added ('OK')	application/octet-stream	date:Sun,%2026%20Feb%202023%2017:18:01%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-cyrillic.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-cyrillic.woff2	(from https://www.classcentral.com/)
11:33:08	6320/6320	---M--	200	added ('OK')	application/octet-stream	date:Sun,%2026%20Feb%202023%2017:18:01%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-greek-ext.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-greek-ext.woff2	(from https://www.classcentral.com/)
11:33:08	6644/6644	---M--	200	added ('OK')	application/octet-stream	date:Sun,%2026%20Feb%202023%2017:18:01%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-greek.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-greek.woff2	(from https://www.classcentral.com/)
11:33:08	4568/4568	---M--	200	added ('OK')	application/octet-stream	date:Sun,%2026%20Feb%202023%2017:25:06%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-vietnamese.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-vietnamese.woff2	(from https://www.classcentral.com/)
11:33:09	12160/12160	---M--	200	added ('OK')	application/octet-stream	date:Sun,%2026%20Feb%202023%2017:18:01%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-latin-ext.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-latin-ext.woff2	(from https://www.classcentral.com/)
11:33:09	13108/13108	---M--	200	added ('OK')	application/octet-stream	date:Sun,%2026%20Feb%202023%2017:25:06%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-latin.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-latin.woff2	(from https://www.classcentral.com/)
11:33:10	5224/5224	---M--	200	added ('OK')	application/octet-stream	date:Sun,%2026%20Feb%202023%2017:25:06%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-cyrillic-ext.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-cyrillic-ext.woff2	(from https://www.classcentral.com/)
11:33:10	7484/7484	---M--	200	added ('OK')	application/octet-stream	date:Sun,%2026%20Feb%202023%2017:25:06%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-cyrillic.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-cyrillic.woff2	(from https://www.classcentral.com/)
11:33:11	6244/6244	---M--	200	added ('OK')	application/octet-stream	date:Sun,%2026%20Feb%202023%2017:18:01%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-greek-ext.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-greek-ext.woff2	(from https://www.classcentral.com/)
11:33:11	6696/6696	---M--	200	added ('OK')	application/octet-stream	date:Sun,%2026%20Feb%202023%2017:25:06%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-greek.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-greek.woff2	(from https://www.classcentral.com/)
11:33:12	4572/4572	---M--	200	added ('OK')	application/octet-stream	date:Sun,%2026%20Feb%202023%2017:25:06%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-vietnamese.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-vietnamese.woff2	(from https://www.classcentral.com/)
11:33:13	12168/12168	---M--	200	added ('OK')	application/octet-stream	date:Sun,%2026%20Feb%202023%2017:25:06%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-latin-ext.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-latin-ext.woff2	(from https://www.classcentral.com/)
11:33:13	12976/12976	---M--	200	added ('OK')	application/octet-stream	date:Sun,%2026%20Feb%202023%2017:25:06%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-latin.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-latin.woff2	(from https://www.classcentral.com/)
